crop_name,soil_ph_min,soil_ph_max,nitrogen_requirement,phosphorus_requirement,potassium_requirement,moisture_requirement,humidity_requirement,temperature_min,temperature_max,soil_type,water_requirement,growing_season,expected_growth_days,yield_category,fertilizer_preference,terrain_type,rainfall_requirement,commercial_priority,region_support,irrigation_type,district_support,district_category,water_source_type,climate_zone,district_priority_score
Paddy,5.0,6.5,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,20,35,Clay,HIGH,Kharif,120,HIGH,Mixed,RIVER_BELT,HIGH,95,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",FLOOD,"Thanjavur,Tiruvarur,Nagapattinam,Tiruchirapalli,Ariyalur,Perambalur,Cuddalore,Villupuram",DELTA,CANAL,HUMID,98
Groundnut,6.0,7.0,LOW,MEDIUM,HIGH,MEDIUM,MEDIUM,25,35,Sandy,MEDIUM,Kharif,120,HIGH,Mixed,PLAIN,MEDIUM,88,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Villupuram,Cuddalore,Tiruvannamalai,Vellore,Ranipet,Kallakurichi,Ramanathapuram,Sivagangai",DRY_ZONE,RAINFED,DRY,90
Sunflower,6.0,7.5,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,18,35,Loamy,MEDIUM,Kharif,90,MEDIUM,Mixed,PLAIN,MEDIUM,78,"SOUTH_INDIA,NORTH_INDIA",DRIP,"Erode,Salem,Dharmapuri,Krishnagiri,Tiruvannamalai",SEMI_ARID,BOREWELL,HOT,75
Cotton,6.0,7.5,HIGH,MEDIUM,HIGH,MEDIUM,LOW,21,35,Black Soil,MEDIUM,Kharif,180,HIGH,Chemical,PLAIN,MEDIUM,92,"SOUTH_INDIA,NORTH_INDIA,SEMI_ARID",DRIP,"Coimbatore,Erode,Salem,Tiruppur,Virudhunagar,Thoothukudi",SEMI_ARID,BOREWELL,HOT,88
Maize,5.5,7.0,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,18,35,Loamy,MEDIUM,Kharif,90,HIGH,Mixed,PLAIN,MEDIUM,90,"NORTH_INDIA,SOUTH_INDIA,TROPICAL",SPRINKLER,"Dharmapuri,Krishnagiri,Salem,Namakkal,Erode",CENTRAL_ZONE,BOREWELL,MODERATE,82
Sugarcane,6.0,7.5,HIGH,MEDIUM,HIGH,HIGH,HIGH,20,40,Loamy,HIGH,All Season,365,HIGH,Chemical,RIVER_BELT,HIGH,93,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",DRIP,"Erode,Thanjavur,Tiruchirapalli,Cuddalore,Villupuram,Vellore,Tiruvannamalai",DELTA,CANAL,HOT,92
Wheat,6.0,7.5,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,10,25,Loamy,MEDIUM,Rabi,120,HIGH,Chemical,PLAIN,MEDIUM,96,"NORTH_INDIA,TEMPERATE",SPRINKLER,Nilgiris,HILL,RAINFED,COOL,40
Tomato,5.5,7.0,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,18,30,Loamy,MEDIUM,All Season,90,HIGH,Mixed,PLAIN,MEDIUM,85,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",DRIP,"Coimbatore,Erode,Salem,Dharmapuri,Krishnagiri,Tiruvannamalai,Vellore",WESTERN_ZONE,BOREWELL,MODERATE,78
Potato,5.0,6.5,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,15,25,Sandy,HIGH,Rabi,90,HIGH,Mixed,HILL,MEDIUM,87,"NORTH_INDIA,HILL_REGION,TEMPERATE",SPRINKLER,"Nilgiris,Dindigul,Kodaikanal",HILL,RAINFED,COOL,72
Onion,6.0,7.0,MEDIUM,MEDIUM,HIGH,LOW,LOW,13,30,Loamy,LOW,Rabi,120,MEDIUM,Mixed,PLAIN,LOW,83,"SOUTH_INDIA,NORTH_INDIA,SEMI_ARID",DRIP,"Erode,Salem,Namakkal,Tiruvannamalai,Villupuram",SEMI_ARID,BOREWELL,HOT,80
