crop_name,district_support,district_category,climate_zone,crop_duration_days,growth_stage,stage_start_day,stage_end_day,activity,guidance,water_requirement,fertilizer_requirement,monitoring_requirement,expected_outcome,risk_factor,government_recommendation
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Land Preparation,1,7,Deep Ploughing,"Plough the field to a depth of 20-25 cm using a tractor or power tiller. Break clods and level the field uniformly. Apply farmyard manure at 12.5 tonnes per hectare and incorporate into the soil before puddling.",HIGH,Organic Compost,Weekly,Improved Soil Tilth,Waterlogging,Use certified paddy varieties recommended by Tamil Nadu Agricultural University (TNAU) such as ADT 43 or CO 51.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Land Preparation,1,7,Field Levelling and Bunding,"Level the field using a laser leveller or traditional float board to ensure uniform water distribution. Strengthen bunds to a height of 20-25 cm to prevent water loss. Check for mole rat burrows and seal immediately.",HIGH,Organic Compost,Weekly,Uniform Water Distribution,Soil Erosion,Strengthen field bunds before transplanting to retain irrigation water as per TNAU guidelines.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Seed Selection,5,7,Seed Treatment,"Select certified seeds of high-yielding varieties such as ADT 43, CO 51, or IR 64. Treat seeds with Pseudomonas fluorescens at 10 g per kg seed. Perform salt water test: discard seeds that float; use only seeds that sink.",LOW,Balanced NPK,Weekly,Healthy Germination,Seed-Borne Disease,Use seeds certified by Tamil Nadu Seed Certification Authority to ensure purity and germination above 85%.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Nursery Preparation,7,20,Nursery Bed Preparation,"Prepare raised nursery beds of 1 metre width and 10 metres length. Apply 5 kg of well-decomposed compost per bed. Sow pre-germinated seeds at 100 g per square metre. Cover with paddy straw to retain moisture and protect from birds.",HIGH,Organic Compost,Every 3 Days,Uniform Seedling Emergence,Damping Off,Apply Trichoderma viride at 5 g per kg seed before sowing as per Tamil Nadu Agriculture Department advisory.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Nursery Preparation,7,20,Nursery Irrigation and Weeding,"Maintain thin water film in nursery. Irrigate twice daily using watering can in early stage. Remove weeds manually at 10th day after sowing. Apply DAP solution at 1% as foliar spray on 12th day to boost seedling vigour.",MEDIUM,Phosphorus Rich,Every 3 Days,Vigorous Seedling Growth,Damping Off; Weed Competition,Ensure nursery beds are free from shade and receive minimum 6 hours of direct sunlight daily.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Transplanting,21,25,Seedling Transplanting,"Transplant 21-25 day old seedlings with 2-3 seedlings per hill. Maintain spacing of 20 cm x 15 cm. Transplant at a shallow depth of 2-3 cm. Avoid deep planting as it delays tillering. Complete transplanting within 3-4 days.",HIGH,Balanced NPK,Daily,Healthy Seedling Establishment,Transplanting Shock,Follow recommended spacing of 20x15 cm for medium duration varieties and 20x20 cm for long duration varieties as per TNAU norms.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Vegetative Growth,26,55,Tillering Management,"Maintain 2-5 cm standing water from transplanting to tillering stage. Apply first dose of nitrogen at 50 kg urea per hectare at 10-12 days after transplanting. Apply potassium chloride at 50 kg per hectare to promote tillering.",HIGH,Nitrogen Rich,Weekly,Better Tillering,Stem Borer Attack; Nutrient Deficiency,Apply nitrogen fertilizer in split doses: 50% basal, 25% at tillering, 25% at panicle initiation to avoid lodging.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Vegetative Growth,26,55,Weed Management,"Apply pre-emergence herbicide Butachlor at 1.5 kg active ingredient per hectare within 3-5 days of transplanting. Maintain standing water for 3 days after herbicide application. Do manual weeding at 25 and 45 days after transplanting.",HIGH,Nitrogen Rich,Weekly,Weed-Free Crop Stand,Weed Competition,Use integrated weed management combining pre-emergence herbicide and one hand weeding for effective control.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Irrigation Management,26,100,Water Level Maintenance,"Maintain standing water at 5 cm depth during vegetative phase. Drain field intermittently every 10 days for 2-3 days to improve soil aeration and root development. Avoid water stress especially during tillering and panicle initiation.",HIGH,Balanced NPK,Weekly,Improved Root Development,Water Stress; Root Rot,Follow Alternate Wetting and Drying (AWD) technique recommended by TNAU to save water up to 30% without yield loss.
Paddy,"Thanjavur,Tiruvarur,Nagapattinam,Ariyalur,Pudukottai",DELTA,HUMID,120,Nutrient Management,30,60,Second Dose Fertilizer Application,"Apply second dose of nitrogen at 50 kg urea per hectare at active tillering stage (30-35 days after transplanting). Foliar spray zinc sulphate at 0.5% if zinc deficiency symptoms appear. Top dress with potash at 30 kg per hectare.",MEDIUM,Nitrogen Rich,Weekly,Increased Tillering and Leaf Area,Nitrogen Deficiency; Zinc Deficiency,Conduct soil test before crop season and adjust fertilizer doses based on soil nutrient status as per TNAU soil health card.
